Station,transmission_rate,log_transmission_rate,ground_lit,sat_lit,elevation_class
1710 - EU1AEM,0.16580310880829016,-1.796954286105159,False,True,Medium
2968 - UX5UL,0.008347245409015025,-4.785823685681349,False,True,High
2968 - UX5UL,1.1337792642140467,0.12555653398976374,True,True,High
431 - PE0SAT-11,0.04810126582278481,-3.0344467857346813,True,True,High
2173 - PE0SAT-21,0.030379746835443037,-3.4939791151131216,True,True,High
2968 - UX5UL,0.9973333333333333,-0.0026702285558789208,True,True,Low
2012 - SP7THR-UHF,0.1676300578034682,-1.785995764511305,True,True,Medium
1710 - EU1AEM,0.6269035532994924,-0.46696257266995655,False,True,Medium
1710 - EU1AEM,2.925806451612903,1.0735701526359447,True,True,High
2029 - EU1AEM,2.175548589341693,0.77728085772196,True,True,Low
2029 - EU1AEM,0.6377777777777778,-0.44976536700474434,True,True,Low
2968 - UX5UL,0.15384615384615385,-1.8718021769015913,False,True,Low
2968 - UX5UL,1.5628140703517588,0.4464880874547417,False,True,High
3523 - IK1JNS-UHF,0.020833333333333332,-3.871201010907891,False,True,High
2968 - UX5UL,0.17429193899782136,-1.7470235753866634,True,True,Low
2968 - UX5UL,0.24479166666666666,-1.407347770317723,True,True,Low
1864 - SA2KNG Omni UHF/VHF,2.25,0.8109302162163288,True,True,High
431 - PE0SAT-11,1.2455696202531645,0.21959295159118622,True,True,High
2173 - PE0SAT-21,1.2151898734177216,0.19490033900081477,True,True,High
1466 - PE0SAT-12,2.522222222222222,0.9251403471511376,True,True,High
2968 - UX5UL,2.0618729096989967,0.7236147492137126,True,True,High
2968 - UX5UL,0.12562814070351758,-2.0744289998562917,True,True,Low
1710 - EU1AEM,3.4166666666666665,1.2286654169163074,True,True,High
2029 - EU1AEM,2.0745341614906834,0.7297366279922375,True,True,Low
3695 - MLB-CC,0.11615487316421896,-2.1528308648626355,True,True,High
2968 - UX5UL,0.06046511627906977,-2.805688670666126,False,True,Low
1861 - LW2DYB,0.2919254658385093,-1.2312567632744045,False,False,High
2968 - UX5UL,1.2046979865771812,0.1862289019828744,False,True,High
2015 - Drachten,0.14435146443514643,-1.9355042278941967,False,True,Medium
,0.2359081419624217,-1.4443127786985746,False,True,High
2968 - UX5UL,0.2526539278131635,-1.3757346009048883,True,True,Low
3426 - G4TNX,1.5096418732782368,0.4118724526831647,True,True,Medium
2968 - UX5UL,2.5192629815745393,0.923966391117183,True,True,High
2015 - Drachten,0.3305785123966942,-1.1069110914828049,True,True,High
2968 - UX5UL,0.7517899761336515,-0.28529828109650474,True,True,Low
1936 - VK4JBE-UHF,0.2332155477031802,-1.455792155616812,False,False,Medium
1710 - EU1AEM,2.9950738916256157,1.0969689029243797,False,True,Medium
2029 - EU1AEM,2.7678018575851393,1.0180534519508575,True,True,Low
1861 - LW2DYB,0.76,-0.2744368457017603,False,False,High
2968 - UX5UL,1.7567567567567568,0.5634693572514127,False,True,Medium
1864 - SA2KNG Omni UHF/VHF,2.25,0.8109302162163288,True,True,High
2968 - UX5UL,0.3305785123966942,-1.1069110914828049,True,True,Low
431 - PE0SAT-11,1.6265984654731458,0.48649100335475637,True,True,High
2173 - PE0SAT-21,1.211734693877551,0.1920529642441787,True,True,High
2968 - UX5UL,0.3884057971014493,-0.9457046170804484,True,True,Low
1864 - SA2KNG Omni UHF/VHF,4.772222222222222,1.562812071094045,True,True,High
2968 - UX5UL,3.1865546218487393,1.1589402772693373,True,True,High
2968 - UX5UL,1.0365296803652968,0.03587828766490185,True,True,Low
1861 - LW2DYB,0.17028985507246377,-1.7702532640070914,True,True,Medium
1936 - VK4JBE-UHF,0.599250936329588,-0.5120748431664226,False,False,Medium
2968 - UX5UL,2.044142614601019,0.7149784422171798,False,True,Medium
1864 - SA2KNG Omni UHF/VHF,3.8333333333333335,1.3437347467010947,True,True,High
2968 - UX5UL,1.0343434343434343,0.033766862470817484,True,True,Low
2968 - UX5UL,0.2484472049689441,-1.3925249108705267,True,True,Low
1864 - SA2KNG Omni UHF/VHF,4.155555555555556,1.424446127084267,True,True,High
2968 - UX5UL,2.451939291736931,0.8968792590957393,True,True,High
2968 - UX5UL,0.5723684210526315,-0.5579724021916928,True,True,Low
431 - PE0SAT-11,0.15258855585831063,-1.880010157319421,False,True,Medium
1864 - SA2KNG Omni UHF/VHF,6.627777777777778,1.891269571207706,True,True,High
2968 - UX5UL,0.06336633663366337,-2.758822526475633,True,True,Low
2173 - PE0SAT-21,0.08921933085501858,-2.4166575492538938,True,True,Low
2968 - UX5UL,0.006734006734006734,-5.000584958242754,True,True,Low
431 - PE0SAT-11,1.5234375,0.42096929464412963,True,True,Medium
2173 - PE0SAT-21,0.59375,-0.5212969236332861,True,True,Medium
2968 - UX5UL,0.008492569002123142,-4.768563732896527,True,True,Low
2968 - UX5UL,0.10862068965517241,-2.2198933771489324,False,True,Medium
3122 - Lovets,0.029197080291970802,-3.5336865647082343,False,True,Low
2015 - Drachten,0.07608695652173914,-2.575878427993727,False,True,Medium
2173 - PE0SAT-21,0.0035087719298245615,-5.652489180268651,True,True,Low
2968 - UX5UL,0.034129692832764506,-3.3775875160230218,True,True,Medium
431 - PE0SAT-11,0.02368421052631579,-3.742946675384212,True,True,Medium
2173 - PE0SAT-21,0.02894736842105263,-3.542275979922061,True,True,Medium
812 - PF_DE_UHF_X_DIPOLE,0.02056555269922879,-3.8841378019386106,True,True,High
2051 - MAUSyagi-AK,0.25,-1.3862943611198906,True,True,Low
2968 - UX5UL,0.03244274809160305,-3.4282783402648263,False,True,Low
3537 - IK1JNS-YAGI,0.04,-3.2188758248682006,True,True,Medium
2410 - GAO UHF,0.047872340425531915,-3.0392173854937297,True,True,High
2029 - EU1AEM,0.052980132450331126,-2.9378382951350885,True,True,Low
431 - PE0SAT-11,0.006389776357827476,-5.0530560099802075,False,True,Low
2173 - PE0SAT-21,0.056910569105691054,-2.866274206317104,True,True,Low
2617 - K2PI,0.015957446808510637,-4.137829674161839,True,True,High
812 - PF_DE_UHF_X_DIPOLE,0.05962059620596206,-2.8197541906822114,False,True,Medium
2051 - MAUSyagi-AK,0.06111111111111111,-2.7950615780918397,True,True,Medium
812 - PF_DE_UHF_X_DIPOLE,0.0967741935483871,-2.3353749158170367,False,True,Low
2029 - EU1AEM,0.012307692307692308,-4.3975308212098465,False,True,Medium
2617 - K2PI,0.02925531914893617,-3.531693870591524,True,True,High
2410 - GAO UHF,0.017310252996005325,-4.056456294302598,False,True,High
2029 - EU1AEM,0.02247191011235955,-3.7954891891721947,True,True,Medium
2410 - GAO UHF,0.027851458885941646,-3.580869930284533,True,True,High
812 - PF_DE_UHF_X_DIPOLE,0.1507537688442211,-1.892107443062337,True,True,Low
71 - PV8DX,0.07058823529411765,-2.6508917872622613,True,True,Medium
71 - PV8DX,0.020316027088036117,-3.896345192708916,False,False,Medium
3122 - Lovets,0.005208333333333333,-5.2574953720277815,True,True,Medium
1376 - Venables_Shed_UHF,0.0214168039538715,-3.8435794335979616,True,True,Medium
71 - PV8DX,0.05454545454545454,-2.908720896564361,True,True,Medium
2617 - K2PI,0.0267022696929239,-3.6230067099632284,True,True,High
2173 - PE0SAT-21,0.032846715328467155,-3.415903529051851,False,True,Low
2173 - PE0SAT-21,0.04788732394366197,-3.0389044454192,False,True,Medium
1889 - EI0RSI - Radio Scouting Ireland,0.009485094850948509,-4.658033675545159,True,True,High
1889 - EI0RSI - Radio Scouting Ireland,0.02168021680216802,-3.8313551023606913,True,True,High
2380 - Piszkesteto UHF,0.031420765027322405,-3.460286298032162,False,True,High
2650 - 9V1KG,0.04631217838765009,-3.072350320346163,False,False,High
2650 - 9V1KG,0.044596912521440824,-3.1100906483290105,False,False,High
2729 - YL3GBC,0.07210884353741497,-2.629578585660715,False,True,High
342 - EA5WA Pobla Llarga,0.03412073490813648,-3.3778500176651645,True,True,Low
1416 - PE2BZ-437,0.0642570281124498,-2.7448641742249267,True,True,Low
2729 - YL3GBC,0.008379888268156424,-4.78192069773259,True,True,Low
431 - PE0SAT-11,0.01812688821752266,-4.0103589061490075,True,True,Medium
2173 - PE0SAT-21,0.0513595166163142,-2.9689050313208467,True,True,Medium
1710 - EU1AEM,0.11290322580645161,-2.181224235989778,True,True,Low
2029 - EU1AEM,0.07373271889400922,-2.607308631300678,True,True,Medium
2029 - EU1AEM,0.009009009009009009,-4.709530201312334,True,True,Low
71 - PV8DX,0.05309734513274336,-2.9356283494842854,True,True,Medium
2410 - GAO UHF,0.02266666666666667,-3.78685986247414,False,True,High
3523 - IK1JNS-UHF,0.034071550255536626,-3.3792925462741055,False,True,Medium
2015 - Drachten,0.006578947368421052,-5.0238805208462765,False,True,Medium
71 - PV8DX,0.025974025974025976,-3.6506582412937383,False,False,Medium
2410 - GAO UHF,0.011984021304926764,-4.424181074427915,True,True,High
1710 - EU1AEM,0.08794788273615635,-2.431010881582868,True,True,Low
2029 - EU1AEM,0.03747072599531616,-3.284195290988843,True,True,Medium
2173 - PE0SAT-21,0.15315315315315314,-1.8763168572561182,False,True,Low
3122 - Lovets,0.04060913705583756,-3.2037621870581527,True,True,High
812 - PF_DE_UHF_X_DIPOLE,0.18874172185430463,-1.6673757495403194,True,True,Low
71 - PV8DX,0.019189765458422176,-3.95337819111006,True,True,Medium
2968 - UX5UL,0.14031620553359683,-1.96385679224615,False,True,Low
2968 - UX5UL,0.022887323943661973,-3.7771720612596145,False,True,Medium
2968 - UX5UL,0.009416195856873822,-4.665324108807838,True,True,Low
2617 - K2PI,0.004016064257028112,-5.517452896464707,False,True,High
431 - PE0SAT-11,0.020761245674740483,-3.8746672188843774,True,True,Low
2173 - PE0SAT-21,0.08996539792387544,-2.40833015009095,True,True,Low
3122 - Lovets,0.03291139240506329,-3.4139364074395853,True,True,High
1710 - EU1AEM,0.08695652173913043,-2.4423470353692043,True,True,Low
431 - PE0SAT-11,0.019553072625698324,-3.934622837345387,True,True,Medium
2173 - PE0SAT-21,0.05307262569832402,-2.93609400723426,True,True,Medium
3122 - Lovets,0.005194805194805195,-5.260096153727839,False,True,High
2617 - K2PI,0.03351206434316354,-3.39584977533556,False,True,High
1710 - EU1AEM,0.005050505050505051,-5.288267030694535,False,True,Low
2029 - EU1AEM,0.016611295681063124,-4.097672352314775,True,True,Medium
2968 - UX5UL,0.04991394148020654,-2.997454926865437,True,True,Medium
1376 - Venables_Shed_UHF,0.041666666666666664,-3.1780538303479458,True,True,High
2968 - UX5UL,0.0017123287671232876,-6.369900982828227,False,True,Medium
1710 - EU1AEM,0.024475524475524476,-3.7100816617645394,True,True,Low
3523 - IK1JNS-UHF,0.1188118811881188,-2.1302138670532593,True,True,Medium
812 - PF_DE_UHF_X_DIPOLE,0.06628242074927954,-2.7138305640177096,True,True,Medium
71 - PV8DX,0.022964509394572025,-3.7738053246125447,True,True,High
2968 - UX5UL,0.03146067415730337,-3.4590169525509817,False,True,Low
2173 - PE0SAT-21,0.084070796460177,-2.4760960201058455,True,True,Low
812 - PF_DE_UHF_X_DIPOLE,0.00558659217877095,-5.187385805840755,True,True,Medium
2968 - UX5UL,0.012531328320802004,-4.379523504455763,False,True,Low
1864 - SA2KNG Omni UHF/VHF,0.05,-2.995732273553991,True,True,Medium
2015 - Drachten,0.02510460251046025,-3.6847040827034556,False,True,High
3523 - IK1JNS-UHF,0.05351170568561873,-2.9278548511509053,False,True,Medium
2617 - K2PI,0.05442176870748299,-2.9109910450989003,False,True,Medium
2968 - UX5UL,0.0033613445378151263,-5.695414224985685,True,True,High
1466 - PE0SAT-12,0.06111111111111111,-2.7950615780918397,True,True,High
2968 - UX5UL,0.016216216216216217,-4.121743536410215,False,True,Low
3122 - Lovets,0.057291666666666664,-2.859600099229411,False,True,High
2015 - Drachten,0.010460251046025104,-4.560172820057356,False,True,High
812 - PF_DE_UHF_X_DIPOLE,0.0079155672823219,-4.838923916414316,False,True,Medium
