0 0 0.00076 0.00899 0.02679
0.03839 0.04012 0.04012 0.06527 0.06527
0.08439 0.10538 0.19183 0.24514 0.24514
0.24514 0.24514 0.24514 0.29146 0.293
0.29339 0.31372 0.30405 0.28874 0.28894
0.29951 0.30254 0.3063 0.31002 0.34868
0.33907 0.34885 0.34885 0.35172 0.35708
0.35973 0.36089 0.32479 0.32515 0.3296
0.33137 0.33506 0.34578 0.34578 0.34578
0.3627 0.3627 0.3627 0.36023 0.3785
0.3718 0.37341 0.37341 0.37469 0.37308
0.37708 0.3815 0.38542 0.39207 0.39998
0.40103 0.40239 0.4079 0.40923 0.41099
0.41596 0.4203 0.42145 0.42573 0.42828
0.4325 0.43515 0.44067 0.4487 0.45125
0.45392 0.46639 0.49237 0.50934 0.52669
0.56585 0.58062 0.59404 0.61327 0.65106
0.65233 0.65877 0.6679 0.67291 0.68001
0.6819 0.69387 0.6973 0.70356 0.71902
0.7417 0.78826 0.86611 0.86616 0.86601
