78.62216 79.17953 79.45298 79.2564 78.75962
78.15824 77.52941 76.82606 76.5108 76.6275
77.07191 78.04134 78.94695 79.47684 79.71647
79.47413 78.91975 78.30283 77.67126 76.91224
76.51784 76.58571 77.0096 77.99627 78.95515
79.49229 79.64573 79.32305 78.69614 77.99937
77.34903 76.55946 76.09299 76.09244 76.51815
77.57092 78.6182 79.22281 79.34201 78.94124
78.25265 77.47869 76.75198 75.90912 75.37479
75.27894 75.64643 76.7048 77.78537 78.4312
78.52828 78.05735 77.32872 76.48379 75.68488
74.7575 74.08764 73.90032 74.27 75.37121
76.46484 77.12904 77.21452 76.66974 75.89937
75.01867 74.14896 73.08808 72.22756 71.88128
72.16943 73.22796 74.3093 75.02107 75.1506
74.58073 73.7958 72.91125 72.02968 70.92109
69.94371 69.47241 69.68849 70.69094 71.71883
72.44496 72.62743 72.06929 71.30614 70.39943
69.43579 68.20375 67.06919 66.49691 66.6673
67.62528 68.63657 69.44177 69.69926 69.17242
68.42209 67.51509 66.54683 65.27807 64.07924
63.46807 63.66457 64.64824 65.65368 66.48372
66.75716 66.21302 65.46015 64.5717 63.60348
62.32249 61.07345 60.38591 60.56488 61.58637
62.65342 63.54674 63.85117 63.3064 62.56129
61.6944 60.71582 59.44059 58.20593 57.50532
57.72743 58.79581 59.90232 60.87076 61.25602
60.78904 60.07108 59.18619 58.21056 56.93222
55.69704 55.02818 55.32777 56.49486 57.68292
58.70491 59.14598 58.76559 58.0864 57.20961
56.21446 54.92 53.7134 53.09459 53.45616
54.66553 55.85402 56.87957 57.31259 57.00734
56.44957 55.6432 54.66362 53.34511 52.1472
51.60194 52.06606 53.34801 54.52527 55.56018
56.00742 55.68605 55.16418 54.42525 53.44261
52.06442 50.83832 50.34383 50.85461 52.13695
53.32198 54.42715 54.90974 54.57696 54.13181
53.53883 52.67067 51.31025 50.0541 49.54775
50.02989 51.25769 52.40244 53.54348 54.08033
53.73171 53.27476 52.76438 52.00278 50.6732
