0.604 0.595 0.597 0.602 0.6
0.606 0.609 0.611 0.609 0.597
0.603 0.603 0.602 0.595 0.601
0.586 0.587 0.592 0.595 0.599
0.597 0.597 0.603 0.607 0.606
0.608 0.606 0.582 0.592 0.585
0.583 0.591 0.593 0.597 0.582
0.574 0.581 0.58 0.58 0.577
0.575 0.58 0.581 0.573 0.586
0.574 0.57 0.569 0.567 0.562
0.575 0.57 0.573 0.576 0.573
0.573 0.571 0.571 0.564 0.572
0.565 0.561 0.544 0.548 0.551
0.558 0.568 0.574 0.582 0.578
0.575 0.575 0.575 0.569 0.573
0.574 0.566 0.577 0.576 0.571
0.581 0.567 0.579 0.574 0.569
0.578 0.569 0.573 0.573 0.573
0.57 0.574 0.576 0.581 0.589
0.588 0.58 0.576 0.574 0.577
0.578 0.572 0.597 0.59 0.594
0.604 0.6 0.595 0.594 0.589
0.597 0.6 0.619 0.622 0.63
0.628 0.642 0.637 0.642 0.64
0.64 0.643 0.643 0.634 0.631
0.628 0.639 0.641 0.632 0.635
0.628 0.625 0.631 0.631 0.625
0.626 0.627 0.625 0.617 0.625
0.629 0.626
